coordinates;color;speed_limit;current_speed
[(8.7463716, 45.9975423), (8.7463516, 45.9975505), (8.7463339, 45.9975632), (8.7463232, 45.9975752), (8.7463157, 45.9975895), (8.7463003, 45.9976209), (8.746287, 45.9976523), (8.7462445, 45.9977786), (8.7460023, 45.9983959), (8.7457267, 45.998773), (8.745427, 45.9989461), (8.7448623, 45.9991241)];green;50;26.0
[(8.744098, 45.9962896), (8.7440947, 45.996214), (8.7441076, 45.9960803), (8.7441284, 45.9959394)];green;50;50.0
[(8.7448435, 45.9920428), (8.7448681, 45.9920315), (8.7449272, 45.9920044), (8.7450239, 45.9919691), (8.7458748, 45.9917333), (8.7467382, 45.9915108), (8.7472164, 45.99138), (8.7473356, 45.9913468), (8.7473544, 45.9913416)];green;50;50.0
[(8.7448623, 45.9991241), (8.7448482, 45.9989998), (8.744648, 45.9982768), (8.7446339, 45.998227), (8.7445411, 45.9978105), (8.7444779, 45.9973859), (8.7444444, 45.9969786), (8.7444369, 45.9968931), (8.7444314, 45.9968725), (8.7444223, 45.9968519), (8.7444041, 45.9968222), (8.7443892, 45.9968061), (8.7443689, 45.9967913), (8.7443282, 45.9967668), (8.7442813, 45.9967437), (8.7442327, 45.9967225), (8.744174, 45.9966983)];green;50;22.0
[(8.7405305, 45.9988816), (8.7413013, 45.9990866), (8.7414818, 45.9991439), (8.7416507, 45.9992073), (8.7421518, 45.9993955), (8.7422351, 45.9994274), (8.7422707, 45.999441)];green;50;25.0
[(8.7401018, 45.9990289), (8.7400928, 45.9989847), (8.7400898, 45.998938), (8.7400805, 45.9988902), (8.7400753, 45.9988684), (8.7400695, 45.9988432), (8.7400727, 45.9988199), (8.7400832, 45.9987955), (8.740101, 45.9987773)];green;50;25.0
[(8.7464624, 45.9973478), (8.7464992, 45.9973565), (8.7465314, 45.9973717), (8.7465568, 45.9973921), (8.7465737, 45.9974164), (8.746581, 45.9974439), (8.7465773, 45.9974718), (8.746563, 45.997498), (8.746539, 45.9975205), (8.7465073, 45.9975377), (8.74647, 45.9975483), (8.74642, 45.9975512), (8.7463716, 45.9975423), (8.7463394, 45.9975284), (8.7463134, 45.9975094), (8.7462951, 45.9974864), (8.746285, 45.997454), (8.7462902, 45.997421), (8.7463103, 45.997391), (8.7463396, 45.9973687), (8.7463769, 45.9973534), (8.7464191, 45.9973462), (8.7464624, 45.9973478)];green;50;26.0
[(8.7464535, 45.9972135), (8.7466282, 45.9967343), (8.7466438, 45.9966932), (8.7467342, 45.9964632), (8.7468719, 45.9962303), (8.7468874, 45.996204), (8.7470819, 45.9959211), (8.7472174, 45.9957561), (8.7473942, 45.9955755), (8.7476055, 45.9954047), (8.7478026, 45.995283), (8.7479919, 45.995165), (8.7481767, 45.9950552), (8.7484141, 45.9949366), (8.7487059, 45.9948277), (8.7491863, 45.9946496), (8.7492484, 45.994629)];green;50;26.0
[(8.7474594, 45.9981834), (8.7474123, 45.9981518), (8.7473474, 45.9981197), (8.7472571, 45.998075), (8.747184, 45.9980379), (8.7471099, 45.9979978), (8.747016, 45.9979404), (8.746934, 45.9978904)];green;30;13.0
[(8.7549063, 45.994326), (8.754866, 45.9943407), (8.754821, 45.9943453), (8.7547763, 45.9943393), (8.7547369, 45.9943235), (8.7547072, 45.9942995), (8.7546906, 45.9942701), (8.7546888, 45.9942385)];green;50;27.0
[(8.7549063, 45.994326), (8.7549571, 45.9943541), (8.7550262, 45.9943923), (8.7552107, 45.9945218), (8.7552947, 45.9945906), (8.7553007, 45.994634), (8.7552936, 45.994655), (8.7552857, 45.9946781)];green;50;32.0
[(8.7548894, 45.9941678), (8.75492, 45.9941379), (8.754972, 45.9940869), (8.7550436, 45.9940318), (8.7551601, 45.9939421), (8.7552284, 45.9938887), (8.7552867, 45.9938426)];green;50;38.0
[(8.7551965, 45.9962197), (8.7551676, 45.9961724), (8.755121, 45.9961065), (8.7550811, 45.9960254), (8.7550392, 45.9959242), (8.75502, 45.9957669), (8.7550207, 45.9957452), (8.7550641, 45.9956185), (8.7551203, 45.9955036), (8.7551943, 45.9954051), (8.7553166, 45.995332), (8.755445, 45.9952554), (8.7556239, 45.9951022), (8.7557529, 45.9949994), (8.7557825, 45.9949447), (8.7557264, 45.9948977), (8.7556559, 45.9948752), (8.7555925, 45.9948537), (8.7555597, 45.9948359), (8.755482, 45.994793), (8.7554101, 45.9947558)];green;50;38.0
[(8.7451823, 45.9968571), (8.745496, 45.997021), (8.7459772, 45.9972977), (8.7460911, 45.9973634)];green;50;25.0
[(8.7442938, 45.9965364), (8.7443095, 45.9965557), (8.7443215, 45.9965757), (8.7443267, 45.9966062), (8.7443233, 45.9966238), (8.7443146, 45.9966418), (8.7443017, 45.9966576), (8.7442805, 45.9966742), (8.7442674, 45.9966814), (8.7442531, 45.9966875), (8.7442343, 45.9966932), (8.7442146, 45.996697), (8.7441944, 45.9966987), (8.744174, 45.9966983), (8.7441538, 45.9966959), (8.7441344, 45.9966914), (8.7441154, 45.9966847), (8.7441, 45.9966771), (8.7440865, 45.9966683), (8.7440752, 45.9966588), (8.7440056, 45.9965881), (8.7439882, 45.9965665), (8.7439817, 45.996552), (8.7439785, 45.996537), (8.7439787, 45.9965218), (8.7439824, 45.9965069), (8.7439893, 45.9964925), (8.7439999, 45.9964788), (8.744012, 45.9964673), (8.7440268, 45.996457), (8.7440448, 45.9964479), (8.7440644, 45.9964409), (8.744084, 45.9964365), (8.7441069, 45.996434), (8.7441285, 45.996434), (8.7441471, 45.9964359), (8.744169, 45.9964405), (8.7441895, 45.9964476), (8.7442072, 45.9964564), (8.7442225, 45.9964669), (8.7442546, 45.9964967), (8.7442938, 45.9965364)];green;50;21.0
[(8.7503953, 45.9851956), (8.7503656, 45.9852269), (8.7503211, 45.985248), (8.7502457, 45.9852547), (8.7501861, 45.9852381), (8.7501436, 45.9852048), (8.750127, 45.9851618), (8.7501398, 45.9851181), (8.7501795, 45.9850831), (8.7502233, 45.9850667), (8.7502727, 45.9850621), (8.7503212, 45.9850698), (8.7503657, 45.9850909), (8.7503954, 45.9851222), (8.7504058, 45.9851589), (8.7503953, 45.9851956)];green;50;50.0
[(8.7441943, 45.9949604), (8.744128, 45.9946503), (8.7440641, 45.9943462)];green;50;50.0
[(8.7440641, 45.9943462), (8.7440524, 45.9943044), (8.7440218, 45.9941713), (8.7439723, 45.9940149), (8.7438415, 45.9937114), (8.7438063, 45.9936309), (8.7437923, 45.9934698)];green;50;52.0
[(8.7474923, 45.9913102), (8.7474838, 45.9913271), (8.7474682, 45.9913413), (8.747447, 45.9913515), (8.7474224, 45.9913567), (8.7473979, 45.9913565), (8.7473746, 45.9913513)];green;50;52.0
[(8.7476491, 45.9911396), (8.7476668, 45.99113), (8.7477369, 45.9910751), (8.747823, 45.9910074), (8.7478707, 45.9909201), (8.7479221, 45.990819), (8.7480933, 45.9904008), (8.748132, 45.9903063), (8.7483966, 45.9895829), (8.7484434, 45.9894744), (8.7487819, 45.9886503), (8.7488486, 45.9884879), (8.748905, 45.9883485), (8.7497623, 45.9863006)];green;50;52.0
[(8.7550754, 45.9705087), (8.7550018, 45.9724219), (8.7549683, 45.9727263), (8.7548413, 45.9730152), (8.7546546, 45.9732596), (8.754321, 45.9736639), (8.7540366, 45.9739236), (8.7526008, 45.9749039), (8.7524067, 45.9750753), (8.7517225, 45.9758892), (8.7515518, 45.9761647), (8.7514174, 45.9765289), (8.7514062, 45.9765717), (8.7514056, 45.9766663), (8.7514035, 45.9769742), (8.7513455, 45.97771), (8.7513306, 45.9781214), (8.7513066, 45.9782781), (8.7512499, 45.9784335), (8.7511277, 45.9786195), (8.7509733, 45.9788086), (8.7497836, 45.9801738), (8.7496422, 45.9805787), (8.7495035, 45.9816485)];green;50;59.0
