coordinates;speed_limit;00_30;01_00;02_30;03_00
[(8.8584499, 46.1816081), (8.8584855, 46.1816469), (8.8585001, 46.1816697), (8.8585048, 46.1816866), (8.8585048, 46.1817064), (8.8584976, 46.1817343), (8.8584877, 46.1817527), (8.8584736, 46.1817696), (8.8584528, 46.1817854), (8.8584232, 46.1818009), (8.858387, 46.1818138), (8.8583343, 46.1818276), (8.8582534, 46.1818451), (8.8582091, 46.1818564), (8.8581739, 46.1818689), (8.8581328, 46.1818881), (8.8580656, 46.181927), (8.8579562, 46.1819993), (8.8578793, 46.1820478), (8.8578112, 46.1820846), (8.8576606, 46.1821448), (8.8573562, 46.1822603), (8.8572375, 46.1822994), (8.8571061, 46.18233), (8.856925, 46.1823601), (8.8567098, 46.1823917), (8.8565676, 46.1824102), (8.8564792, 46.1824271), (8.8564262, 46.1824451), (8.8563805, 46.1824827), (8.8563652, 46.1825107), (8.856358, 46.1825646), (8.8563605, 46.1826164), (8.8563899, 46.1827441), (8.856416, 46.1828833), (8.8564402, 46.1830073), (8.8564436, 46.183065), (8.8564335, 46.1831067), (8.8564073, 46.1831744)];50;43;43;43;43
[(9.0148303, 46.1892442), (9.0142451, 46.189402)];50;46;46;46;46
[(8.8858031, 46.1738384), (8.885747, 46.1738325), (8.8856965, 46.1738147), (8.8856565, 46.1737869), (8.8856311, 46.1737517), (8.8856229, 46.1737129), (8.8856328, 46.1736738), (8.8856602, 46.1736389), (8.885702, 46.1736117), (8.8857542, 46.1735952), (8.8858112, 46.1735909)];60;51;51;51;51
[(8.8858031, 46.1738384), (8.8858031, 46.1738417), (8.8858075, 46.1743222)];60;51;51;51;51
[(8.8857132, 46.168769), (8.8856479, 46.1686582), (8.8855717, 46.168572), (8.8854984, 46.1685018), (8.8854086, 46.1684506)];60;51;51;51;51
[(8.8854086, 46.1684506), (8.8853634, 46.1684514), (8.88532, 46.1684506), (8.8852727, 46.1684436), (8.8852272, 46.1684345), (8.8851762, 46.1684172), (8.8851312, 46.1683973), (8.8850863, 46.1683712), (8.8850499, 46.1683413), (8.8850255, 46.1683131), (8.8850082, 46.168291), (8.8849918, 46.1682589), (8.8849793, 46.1682232), (8.8849753, 46.1681876), (8.8849789, 46.1681494), (8.8849897, 46.1681095), (8.8850157, 46.1680625), (8.8850407, 46.1680316), (8.8850692, 46.1680043), (8.885103, 46.1679813), (8.8851342, 46.167963), (8.885184, 46.167942), (8.8852376, 46.167926), (8.8852857, 46.1679175), (8.8853334, 46.1679126), (8.8853738, 46.1679122), (8.885427, 46.1679145), (8.8854838, 46.1679239), (8.8855401, 46.1679402), (8.8855841, 46.1679598), (8.8856216, 46.1679786), (8.8856643, 46.1680086), (8.8856931, 46.1680387), (8.885718, 46.1680687), (8.8857343, 46.1680977), (8.8857472, 46.1681353), (8.8857519, 46.1681666), (8.8857507, 46.1682003), (8.8857463, 46.1682307), (8.8857303, 46.1682711), (8.88571, 46.1683044), (8.8856867, 46.1683323), (8.8856644, 46.1683527), (8.8856438, 46.1683685), (8.8856168, 46.1683864), (8.8855804, 46.1684053), (8.885546, 46.1684197), (8.8855015, 46.1684341), (8.8854557, 46.168444), (8.8854086, 46.1684506)];60;51;51;51;51
[(8.8881038, 46.1597886), (8.8880726, 46.1598545)];80;60;60;60;60
[(8.8895498, 46.1568792), (8.8881038, 46.1597886)];80;60;60;60;60
[(8.8891601, 46.1529056), (8.889262, 46.1528981), (8.8901528, 46.1528319), (8.8905932, 46.1528002), (8.8907193, 46.1527936), (8.8908486, 46.1527898), (8.8910241, 46.1527881), (8.8911868, 46.15279), (8.8915644, 46.1528106)];60;45;45;45;45
[(8.8561757, 46.1486001), (8.8562222, 46.1486013), (8.8562516, 46.1486009), (8.8562721, 46.1485994), (8.8563302, 46.1485924), (8.8563897, 46.1485823), (8.8565538, 46.1485456), (8.8569092, 46.1484437), (8.8573928, 46.1482987), (8.8575457, 46.148264), (8.8576918, 46.1482399), (8.8578729, 46.148226), (8.8580154, 46.1482194), (8.8581951, 46.1482287), (8.8584382, 46.1482584), (8.8592143, 46.1484697), (8.8594128, 46.1485187), (8.8594857, 46.1485307), (8.8596254, 46.1485538), (8.859805, 46.1485668), (8.8599709, 46.1485734), (8.860382, 46.1485393)];50;29;29;29;29
