coordinates;speed_limit;00_30;01_00;02_30;03_00
[(8.9008812, 45.940468), (8.9010156, 45.9407011), (8.9013117, 45.9411707), (8.9014643, 45.9413818), (8.9018078, 45.9418416), (8.9018715, 45.9419476), (8.9019184, 45.942051), (8.9020758, 45.9424852), (8.9021201, 45.9425841), (8.9022673, 45.9428769), (8.9026906, 45.9437075)];50;42;42;42;42
[(8.9026906, 45.9437075), (8.9028346, 45.9439891), (8.903009, 45.9443183), (8.9033915, 45.9449145), (8.9035447, 45.9451473), (8.9035963, 45.9452548), (8.9040694, 45.9467235), (8.9041375, 45.9471757), (8.9041644, 45.9472534), (8.9042051, 45.9473261), (8.904243, 45.9473749), (8.9042774, 45.947418)];50;42;42;42;42
[(8.9070179, 45.9272793), (8.907013, 45.9272822), (8.9070054, 45.9272861), (8.9064857, 45.9275921), (8.9061492, 45.9277672)];50;42;42;42;42
[(8.908335, 45.9261284), (8.9082433, 45.9262189), (8.9077642, 45.9266123), (8.9077617, 45.926615), (8.9073918, 45.9270132), (8.9071789, 45.9271847), (8.9070282, 45.9272735), (8.9070224, 45.9272766), (8.9070179, 45.9272793)];50;42;42;42;42
[(8.9098245, 45.9246246), (8.9096341, 45.9248671), (8.9095835, 45.9249373), (8.9095097, 45.925019), (8.9094101, 45.9251027), (8.9091024, 45.9252875), (8.9089405, 45.9254091), (8.9088153, 45.9255241), (8.9086496, 45.9257082), (8.9084751, 45.925947), (8.908335, 45.9261284)];50;42;42;42;42
[(8.9719239, 45.8879316), (8.9718938, 45.887463), (8.9718916, 45.8871365), (8.9719248, 45.8870068), (8.9723967, 45.8861173), (8.9726692, 45.8856735), (8.9729023, 45.8852129)];50;104;104;104;104
[(8.9569688, 46.0056515), (8.9573219, 46.0056703), (8.9575348, 46.0056792), (8.9582303, 46.0057123), (8.9587621, 46.0057334), (8.9590898, 46.0057504), (8.9594408, 46.0057617), (8.9595385, 46.0057654), (8.9597251, 46.0057716), (8.9602119, 46.0057972), (8.9603082, 46.0058013), (8.9603936, 46.0058049), (8.9605021, 46.0058131), (8.9606427, 46.0058268)];50;22;22;22;22
[(8.9507421, 46.4833349), (8.9495849, 46.4816783), (8.9492788, 46.4812336)];80;36;36;36;36
[(8.9210657, 45.9260141), (8.9208108, 45.9257671), (8.9207828, 45.9257393), (8.9204796, 45.9254385), (8.9201946, 45.9251279), (8.9200048, 45.9249385), (8.9199566, 45.9248887), (8.9199217, 45.9248526), (8.9196159, 45.9245365)];30;42;42;42;42
[(8.9214797, 45.9263931), (8.9210657, 45.9260141)];50;42;42;42;42
[(8.7746854, 46.1623158), (8.7749273, 46.1618078)];50;74;74;74;74
[(8.7749385, 46.1620198), (8.7748129, 46.1622034), (8.7747814, 46.162236), (8.7746854, 46.1623158)];50;74;74;74;74
[(8.9108368, 45.9234301), (8.9106936, 45.923523), (8.9106321, 45.9235756), (8.9105551, 45.9236744), (8.9104958, 45.9237491), (8.9102926, 45.9240514), (8.9101507, 45.9242363), (8.9101193, 45.9242703), (8.9100684, 45.9243257)];30;42;42;42;42
[(8.9141357, 45.9223581), (8.9139562, 45.9223515), (8.9137992, 45.9223762), (8.9137276, 45.9223956), (8.9131608, 45.9225595)];30;42;42;42;42
[(8.9397105, 46.5161434), (8.9397091, 46.5159833)];80;57;57;57;57
[(8.9501075, 46.4925485), (8.9499794, 46.4910678), (8.9499608, 46.4907908), (8.9499624, 46.4906955), (8.9499701, 46.4905688), (8.949985, 46.4904585), (8.9500053, 46.4903532), (8.9500521, 46.4901827), (8.9501046, 46.4900197), (8.9501907, 46.4898018), (8.9507661, 46.4883866), (8.9510475, 46.4876968), (8.9511329, 46.4874644), (8.9512047, 46.4872872), (8.9512544, 46.4871399), (8.951287, 46.4870026), (8.9513098, 46.4868422), (8.9513276, 46.4867039), (8.9513386, 46.4863178), (8.9513685, 46.4848451)];80;36;36;36;36
[(8.9502395, 46.4943103), (8.9501075, 46.4925485)];80;36;36;36;36
[(8.9397574, 46.5163552), (8.9397105, 46.5161434)];80;57;57;57;57
[(9.0250665, 46.1956656), (9.025019, 46.1955787)];50;40;40;40;40
[(8.8250008, 46.4589685), (8.8244525, 46.4599672)];120;117;117;117;117
[(8.8244525, 46.4599672), (8.8237066, 46.4612733), (8.823369, 46.4618802)];120;117;117;117;117
[(8.823369, 46.4618802), (8.8228086, 46.4627596), (8.8222504, 46.4635446), (8.8217107, 46.4642057)];120;117;117;117;117
[(8.724891, 46.5014859), (8.7244703, 46.5017209), (8.7235731, 46.5022323), (8.7225369, 46.5028733), (8.7215536, 46.503499), (8.7198539, 46.5045455), (8.718942, 46.505068), (8.7178503, 46.5056959), (8.7167517, 46.5062942), (8.7162123, 46.5065774), (8.7155895, 46.5068974), (8.7134413, 46.5079512)];120;68;68;68;68
[(8.8250005, 46.4586187), (8.8254679, 46.4577996)];120;117;117;117;117
[(8.8239049, 46.4606637), (8.8241486, 46.4602361), (8.8250005, 46.4586187)];120;117;117;117;117
[(8.837012, 46.4403527), (8.8366932, 46.440573), (8.8364035, 46.4407904), (8.8357352, 46.4413083), (8.8348552, 46.4420312), (8.8345905, 46.4422743), (8.8342431, 46.4425935), (8.8339268, 46.442903), (8.8336386, 46.4431996), (8.8333504, 46.4434963), (8.833136, 46.4437341), (8.8329321, 46.4439623), (8.8325242, 46.4444476), (8.8322658, 46.4447682), (8.8319794, 46.445133), (8.8317606, 46.4454303), (8.8315699, 46.4457083), (8.8310431, 46.446541), (8.8308198, 46.4469172)];120;110;110;110;110
[(8.8380822, 46.4395764), (8.8384141, 46.4393843), (8.8388451, 46.4391495), (8.8392655, 46.4389269), (8.8396991, 46.4387073), (8.8401187, 46.4385071), (8.8409525, 46.4381249), (8.8432056, 46.4371466)];120;110;110;110;110
[(8.8432488, 46.4372471), (8.8414648, 46.4380196), (8.840556, 46.4384134), (8.8397476, 46.4387902), (8.8394105, 46.4389581), (8.8390261, 46.4391591), (8.8383396, 46.4395357), (8.8380594, 46.4396988), (8.8378163, 46.439845), (8.8375562, 46.440008), (8.837012, 46.4403527)];120;110;110;110;110
[(8.8432056, 46.4371466), (8.8439946, 46.436807), (8.8453903, 46.4360899), (8.8467973, 46.435251), (8.8475249, 46.4347568), (8.8480227, 46.4343947), (8.8484488, 46.4340675)];120;110;110;110;110
[(8.9751926, 46.347348), (8.9751573, 46.3474629)];60;60;60;60;60
[(8.9751573, 46.3474629), (8.9751502, 46.3474873), (8.9750937, 46.3476808)];60;60;60;60;60
[(8.9512444, 46.4962807), (8.9508499, 46.4958427), (8.9505764, 46.4954938), (8.9503921, 46.4951687), (8.9503143, 46.4949309), (8.9502596, 46.4946752), (8.9502395, 46.4943103)];80;36;36;36;36
[(8.9523077, 46.497613), (8.9522114, 46.4973972)];80;61;61;61;61
[(8.9049388, 46.3816218), (8.9047588, 46.3817382), (8.9041191, 46.3821518), (8.9036637, 46.3825052), (8.9030532, 46.3830514)];50;59;59;59;59
[(8.9122673, 46.3773812), (8.9119386, 46.377582), (8.9118221, 46.3776567), (8.9116926, 46.3777398), (8.9110801, 46.378095), (8.9107219, 46.3783142), (8.9100292, 46.3786969), (8.9096653, 46.3788696), (8.9092232, 46.3790582)];50;116;116;116;116
[(8.9092232, 46.3790582), (8.9091166, 46.3791026)];50;116;116;116;116
[(8.9091166, 46.3791026), (8.908601, 46.3793176), (8.9078433, 46.3796251), (8.9074359, 46.3797992)];50;116;116;116;116
[(8.9565409, 46.0655763), (8.9565025, 46.0655474), (8.956477, 46.0655092), (8.9564692, 46.0654335), (8.9564706, 46.0653691), (8.9564962, 46.0651919), (8.9565114, 46.0651188), (8.9565355, 46.0649744), (8.9565761, 46.0646743), (8.9566187, 46.0643993), (8.9566301, 46.064267), (8.9566476, 46.0641478), (8.9568889, 46.0624021), (8.9568937, 46.0623672), (8.956978, 46.0617736), (8.9570101, 46.061655), (8.9570412, 46.0615703), (8.9570851, 46.061464), (8.9571529, 46.0613195), (8.9571902, 46.0612384), (8.9571979, 46.0612152), (8.9572051, 46.061186), (8.9572077, 46.0611637), (8.957211, 46.0611358), (8.9572074, 46.0610437), (8.957202, 46.0610023), (8.9571956, 46.0609129), (8.9571974, 46.0608598), (8.9572052, 46.0608107), (8.9572194, 46.0607606), (8.9572386, 46.0607026), (8.9572612, 46.0606668), (8.9572862, 46.0606385), (8.9573157, 46.0606139), (8.9573428, 46.0605984), (8.9573778, 46.0605839), (8.957479, 46.0605513), (8.9578236, 46.060437), (8.9578642, 46.0604238), (8.9579487, 46.0603907), (8.9580073, 46.0603583), (8.9580596, 46.0603253), (8.9581027, 46.0602895), (8.9581328, 46.060255), (8.9581799, 46.0601972), (8.9582716, 46.0600605), (8.9583163, 46.059986), (8.9583578, 46.0598879), (8.9585092, 46.0593667), (8.9585157, 46.0593291), (8.9585166, 46.0592986), (8.9585146, 46.059268), (8.9585067, 46.0592361), (8.9584831, 46.0591821), (8.9584557, 46.059136), (8.9584159, 46.0590875), (8.9583822, 46.0590553), (8.9583396, 46.0590263), (8.958297, 46.0590035), (8.9582539, 46.058983), (8.9581931, 46.0589619), (8.9580926, 46.0589321), (8.9579412, 46.0588965), (8.9576461, 46.0588494), (8.9573376, 46.0586844), (8.9571083, 46.0584309), (8.9570098, 46.0583169), (8.9568535, 46.0579796), (8.9566584, 46.0576388), (8.9566273, 46.0575947), (8.956588, 46.0575435), (8.9565287, 46.05748), (8.9564768, 46.0574334), (8.9564012, 46.057376), (8.9560375, 46.057137), (8.955791, 46.0569724), (8.9557348, 46.0569262), (8.9556337, 46.0568344), (8.9554548, 46.0566627), (8.9554045, 46.0566238), (8.9553449, 46.0565871), (8.9552177, 46.0565292), (8.9550241, 46.0564633), (8.9547772, 46.0563776), (8.9547162, 46.0563497), (8.9546583, 46.0563174), (8.9546169, 46.0562915), (8.9545703, 46.0562557), (8.9544955, 46.0561926), (8.9541058, 46.0558397), (8.953976, 46.055724), (8.9534142, 46.0552237), (8.9533321, 46.0551446), (8.9532743, 46.0550779), (8.9532517, 46.055042), (8.953221, 46.0549918), (8.953195, 46.0549252), (8.9531787, 46.0548537), (8.9531772, 46.054783), (8.9531817, 46.0547086), (8.9531952, 46.0546548), (8.9532192, 46.0545932), (8.9534427, 46.0541973), (8.9536022, 46.0539257), (8.9536675, 46.0537911)];50;41;41;41;41
[(8.8609207, 45.9698933), (8.8610146, 45.9699482), (8.8611187, 45.9700013), (8.8612574, 45.9700617), (8.8614518, 45.970129), (8.8615945, 45.9701687), (8.8623712, 45.9703802)];50;26;26;26;26
[(8.8628417, 45.9705043), (8.864244, 45.9709035), (8.865688, 45.971297), (8.8658184, 45.9713371), (8.8659645, 45.9713893), (8.86611, 45.9714537), (8.8662685, 45.9715343), (8.8664196, 45.9716195), (8.866645, 45.9717643), (8.8678927, 45.972575), (8.8681895, 45.9727588), (8.8685499, 45.972993), (8.868565, 45.9730027), (8.8687681, 45.9731285), (8.8689348, 45.9732362), (8.8694785, 45.9735837), (8.8698552, 45.9738268), (8.870817, 45.9744407), (8.8725179, 45.9755336), (8.8726568, 45.9756228), (8.8727611, 45.975689), (8.8730907, 45.9759035), (8.8731448, 45.9759387), (8.8741092, 45.9765554), (8.8741762, 45.9765983), (8.8748992, 45.9770613), (8.8749515, 45.9770941), (8.8750132, 45.977128)];50;26;26;26;26
[(8.9483021, 45.864301), (8.9482755, 45.8643328), (8.9477396, 45.8650145), (8.9475786, 45.8651777), (8.9474008, 45.8652416), (8.9472109, 45.8652688), (8.9470972, 45.865271), (8.9469751, 45.8652596), (8.9465311, 45.8651452), (8.9457481, 45.8649354)];50;40;40;40;40
[(8.9460901, 45.8523578), (8.9467708, 45.8529266), (8.9470218, 45.8531633)];60;44;44;44;44
[(8.7884133, 46.1648359), (8.7882042, 46.1647282), (8.7879253, 46.1646093), (8.7874605, 46.1644211), (8.7869222, 46.1642319), (8.7863393, 46.1640336), (8.785891, 46.1638847)];80;33;33;33;33
[(8.7929224, 46.1672843), (8.7928279, 46.1672769), (8.7927438, 46.1672688), (8.7926748, 46.1672601), (8.7926063, 46.1672485), (8.7925374, 46.1672335), (8.7924351, 46.1672147)];50;33;33;33;33
[(8.7945697, 46.1670631), (8.7943336, 46.1670529), (8.7942816, 46.1670537), (8.7942188, 46.1670627), (8.7941616, 46.1670742), (8.7940955, 46.1670921)];50;33;33;33;33
[(8.7941956, 46.1668425), (8.7942947, 46.1669279), (8.794349, 46.1669646), (8.7943888, 46.166985), (8.7944547, 46.1670161), (8.7945697, 46.1670631)];50;33;33;33;33
[(8.7655494, 46.1651579), (8.7655465, 46.1651902), (8.765528, 46.1652199), (8.7654962, 46.1652435), (8.7654547, 46.1652584), (8.7654084, 46.1652626), (8.7653628, 46.1652558), (8.7653277, 46.1652414), (8.7653003, 46.1652205), (8.7652831, 46.1651949), (8.7652776, 46.165167), (8.7652842, 46.1651391), (8.7653057, 46.1651109), (8.7653395, 46.1650892), (8.7653818, 46.1650765), (8.7654277, 46.1650744), (8.7654721, 46.1650829), (8.7655099, 46.1651012), (8.7655366, 46.1651272), (8.7655494, 46.1651579)];50;40;40;40;40
[(8.7911438, 46.1668159), (8.7907351, 46.1668653), (8.7903174, 46.1669857), (8.7902165, 46.1670214), (8.7901318, 46.1670527), (8.7898778, 46.1671513), (8.7896025, 46.16735), (8.7894519, 46.1675277), (8.7894175, 46.1675849), (8.7894002, 46.1676137), (8.7893366, 46.1677526)];50;33;33;33;33
[(8.7892264, 46.1687614), (8.7891513, 46.1687192), (8.7890356, 46.168664), (8.7889572, 46.1686266)];50;33;33;33;33
[(8.7892264, 46.1687614), (8.7892236, 46.1688517), (8.7892223, 46.1688927), (8.7892213, 46.1689251), (8.7892039, 46.1695661), (8.7892003, 46.1696393), (8.7891985, 46.1696647), (8.7891852, 46.1696884), (8.7891619, 46.169708)];50;33;33;33;33
[(8.7382944, 46.2290963), (8.7381448, 46.2292207), (8.7380125, 46.2293224), (8.7375807, 46.2296324), (8.7370516, 46.230005), (8.735975, 46.2307767), (8.7357977, 46.2309011), (8.7357082, 46.2309582), (8.7356253, 46.2310066), (8.7355265, 46.2310571), (8.73545, 46.2310923), (8.7352566, 46.2311749), (8.7338232, 46.2317403), (8.73341, 46.2318949)];80;61;61;61;61
[(8.7453902, 46.2220277), (8.7449351, 46.2223312), (8.7447771, 46.2224465), (8.7446833, 46.2225226), (8.7445958, 46.2225998), (8.7445108, 46.2226778), (8.7443632, 46.2228401), (8.7436893, 46.2235932)];50;60;60;60;60
[(8.7473696, 46.1991308), (8.7471899, 46.1991906), (8.7469921, 46.1992715), (8.7468175, 46.199358), (8.7466015, 46.1994907), (8.7464213, 46.1996297), (8.7451628, 46.2008174), (8.7448723, 46.2010805), (8.7444145, 46.2015186)];60;64;64;64;64
[(8.7916075, 46.1668874), (8.7914696, 46.1668661), (8.7911438, 46.1668159)];50;33;33;33;33
[(8.7924351, 46.1672147), (8.7918554, 46.1669654), (8.7916075, 46.1668874)];50;33;33;33;33
[(8.7096469, 46.2434042), (8.7080175, 46.2445046), (8.707933, 46.244565), (8.7071133, 46.2451214), (8.707002, 46.2451906), (8.7067661, 46.2453257), (8.7064915, 46.2454681), (8.706258, 46.2455757), (8.7058744, 46.245743), (8.7057419, 46.2458003), (8.7056623, 46.2458289), (8.7056297, 46.2458406)];60;65;65;65;65
[(8.7096469, 46.2434042), (8.7108102, 46.2426085), (8.713863, 46.2405424)];80;65;65;65;65
[(8.8867713, 46.1524506), (8.8870878, 46.1526166), (8.8872963, 46.1527078), (8.8875271, 46.1527899), (8.88758, 46.1528133), (8.8876265, 46.1528383), (8.8876565, 46.1528619)];60;45;45;45;45
[(8.887574, 46.1529712), (8.8875023, 46.1529472), (8.8874245, 46.1529105), (8.8873491, 46.1528688), (8.8872193, 46.1527827), (8.8870461, 46.152657), (8.8867713, 46.1524506)];60;45;45;45;45
[(8.8926484, 46.1530456), (8.892719, 46.1530526), (8.8928211, 46.1530609), (8.8928858, 46.1530635), (8.8929505, 46.1530636), (8.8930116, 46.1530622), (8.8930728, 46.1530596), (8.8931556, 46.1530597), (8.8932367, 46.1530635), (8.8933359, 46.1530689), (8.8934281, 46.1530768), (8.8935542, 46.153095), (8.8936714, 46.1531145), (8.8937721, 46.1531338), (8.8938656, 46.153154), (8.8939085, 46.153165), (8.8939464, 46.1531759)];60;45;45;45;45
[(8.8913502, 46.1537032), (8.8913728, 46.1536734), (8.8913994, 46.1536449), (8.89143, 46.1536182), (8.8914625, 46.1535928), (8.8915266, 46.1535448), (8.8915906, 46.1534995), (8.8916687, 46.1534493), (8.8917532, 46.1534015), (8.89186, 46.1533451), (8.8919692, 46.1532944), (8.8920666, 46.153254), (8.8921601, 46.1532168), (8.8922289, 46.1531846), (8.89229, 46.1531519), (8.8923401, 46.1531216)];60;45;45;45;45
[(8.9338175, 46.0641889), (8.9339452, 46.0644378)];60;51;51;51;51
[(8.7424352, 46.2249899), (8.742108, 46.2253727)];50;60;60;60;60
[(8.742108, 46.2253727), (8.7418995, 46.2255922), (8.7418264, 46.2256626), (8.7406493, 46.2266499), (8.7406003, 46.2266939), (8.7403702, 46.2269004), (8.7401166, 46.2272024), (8.7397266, 46.2276152), (8.7396723, 46.2276683), (8.7394492, 46.2278958)];50;60;60;60;60
[(9.0373594, 46.2179725), (9.0374346, 46.2182042), (9.0375003, 46.2183663), (9.0375751, 46.2185212), (9.0376555, 46.2186726), (9.03773, 46.2187971)];120;102;102;102;102
[(8.7519484, 46.1973047), (8.7518533, 46.1973809), (8.751583, 46.1975795), (8.7511199, 46.1978236), (8.7509243, 46.1979152), (8.7507097, 46.1979998), (8.7501837, 46.1981916), (8.7490441, 46.1986071), (8.7487681, 46.1987045), (8.7485858, 46.1987644), (8.7484435, 46.1988112), (8.7473696, 46.1991308)];80;64;64;64;64
[(8.841114, 45.9969159), (8.8411858, 45.9970027), (8.8412269, 45.9970449), (8.8412692, 45.9970757), (8.8413195, 45.9971025), (8.8413757, 45.9971262), (8.8415153, 45.9971753), (8.8416051, 45.9972066), (8.841669, 45.9972375), (8.8417454, 45.9972759), (8.8419933, 45.9973774), (8.8424428, 45.9975629), (8.8425867, 45.9976237), (8.8426168, 45.9976408), (8.8426417, 45.997655)];30;34;34;34;34
[(8.8198655, 46.0116244), (8.8196678, 46.0116804), (8.8195004, 46.0117175), (8.8191755, 46.011722), (8.8188834, 46.0117281), (8.8185945, 46.0117526), (8.8183796, 46.0117851), (8.8180339, 46.0118582), (8.8174473, 46.0119891)];50;39;39;39;39
[(8.8421638, 46.1792532), (8.842146, 46.1792982), (8.8421238, 46.1793418), (8.8420961, 46.179366), (8.8420646, 46.1793826), (8.8420179, 46.1794019)];60;80;80;80;80
[(8.8293171, 46.4496689), (8.8293685, 46.4494399), (8.8293774, 46.4493595), (8.8293842, 46.4492798), (8.8293843, 46.4492133), (8.8293789, 46.4491513), (8.8293673, 46.4490953), (8.8293394, 46.4489918), (8.829174, 46.4485387), (8.8291558, 46.4484912)];60;117;117;117;117
[(8.6501816, 46.5228484), (8.6500679, 46.5228693), (8.6499743, 46.5228881), (8.6495833, 46.5229832), (8.6493937, 46.5230304), (8.6492795, 46.5230616), (8.6490489, 46.5231366), (8.6489004, 46.5231858), (8.6487145, 46.5232526), (8.6486081, 46.5232873), (8.6485383, 46.5233074), (8.6484492, 46.523329), (8.6483162, 46.523353), (8.6481877, 46.5233754), (8.6481003, 46.5233952), (8.6480106, 46.5234186), (8.6478877, 46.5234553), (8.6473038, 46.5236536), (8.647237, 46.5236745), (8.647188, 46.5236873), (8.6471397, 46.5236959), (8.6470753, 46.5237026), (8.6460787, 46.5237873), (8.6459654, 46.5237985), (8.6458953, 46.5238091), (8.6458488, 46.5238192), (8.6458164, 46.5238277), (8.6457889, 46.5238401), (8.6457199, 46.5238733), (8.6456812, 46.5238919), (8.6456375, 46.5239051), (8.6455997, 46.5239127), (8.6455521, 46.5239157), (8.6449488, 46.5239168), (8.644856, 46.5239197), (8.6447846, 46.5239262), (8.6446583, 46.5239413), (8.6444679, 46.5239558), (8.644376, 46.5239638), (8.6443197, 46.52397), (8.6442693, 46.5239783), (8.6441502, 46.524009), (8.6440922, 46.5240202), (8.6440423, 46.5240252), (8.6439618, 46.5240291), (8.643902, 46.5240325), (8.6438385, 46.5240394), (8.6437617, 46.5240531), (8.6436694, 46.5240667), (8.6435801, 46.5240741), (8.6432598, 46.5240844), (8.6430921, 46.5240881), (8.642732, 46.5240815), (8.6424945, 46.5240849)];80;106;106;102;106
[(8.6854261, 46.522202), (8.685406, 46.5222292), (8.6853847, 46.5222707), (8.6853375, 46.5223822), (8.685266, 46.5225771), (8.6852461, 46.5226445), (8.6852408, 46.5226982), (8.6852435, 46.522753), (8.6852568, 46.5228158), (8.6853282, 46.523071), (8.685367, 46.523186), (8.6854179, 46.5233034), (8.6854468, 46.5233754), (8.6854623, 46.5234412), (8.6854698, 46.5235052), (8.6854673, 46.523592), (8.68546, 46.5236559), (8.6854466, 46.52372), (8.6854122, 46.5238236), (8.6853123, 46.5241024), (8.6852211, 46.5243084), (8.6851724, 46.5244088), (8.6851467, 46.5244423), (8.6851106, 46.5244785), (8.6849886, 46.5245885), (8.6846801, 46.5247942), (8.68464, 46.5248123), (8.684589, 46.5248315), (8.6845413, 46.5248363)];80;39;39;39;39
[(8.6842624, 46.5247611), (8.6842412, 46.524737), (8.6842163, 46.5246894), (8.6841497, 46.5245667), (8.6841008, 46.5244528), (8.684085, 46.5244267), (8.6840667, 46.5244044), (8.6840315, 46.5243702)];50;39;39;39;39
[(8.6965929, 46.5197426), (8.6963965, 46.5197996), (8.6963296, 46.5198253), (8.696217, 46.5198784), (8.6961011, 46.5199236), (8.6958816, 46.519995), (8.6958027, 46.5200191), (8.6957348, 46.5200319), (8.6956419, 46.5200417), (8.695352, 46.5200525), (8.6952321, 46.52006), (8.6951569, 46.5200743), (8.6950776, 46.520101), (8.6949783, 46.5201467), (8.6948687, 46.520216), (8.6947362, 46.5203157), (8.694506, 46.5204993), (8.6944273, 46.5205536), (8.694389, 46.5205741), (8.6943403, 46.5205894), (8.694038, 46.5206429), (8.6938237, 46.520691)];50;40;40;40;40
[(8.7128953, 46.514706), (8.7132627, 46.5145455), (8.7133374, 46.5145209), (8.713607, 46.5144518), (8.7136725, 46.5144328), (8.7137177, 46.5144107), (8.7137791, 46.5143674), (8.713829, 46.5143209), (8.7138878, 46.5142527)];50;40;40;40;40
[(8.7117238, 46.5152623), (8.7112129, 46.5154807), (8.7110482, 46.51556), (8.710818, 46.5156847), (8.7103935, 46.5159441), (8.7102946, 46.5159975), (8.7101216, 46.5160738), (8.7099727, 46.5161382), (8.7098851, 46.5161861), (8.7098294, 46.516228), (8.7097902, 46.5162736), (8.7096904, 46.5164554)];80;40;40;40;40
[(8.7160198, 46.5134698), (8.7160381, 46.5133655), (8.7160381, 46.5132834), (8.7160409, 46.5131143), (8.7160325, 46.5129926), (8.7160549, 46.5128389), (8.7160549, 46.512722), (8.7160816, 46.5126534), (8.7161181, 46.5125771)];80;39;39;39;39
[(8.7783724, 46.4942117), (8.7786448, 46.494295), (8.7787433, 46.4943251)];50;26;26;26;26
[(8.7861072, 46.49329), (8.7861908, 46.4932979), (8.7862413, 46.4932978), (8.7862651, 46.4932937), (8.7862873, 46.4932791)];80;30;30;30;30
[(8.7638649, 46.4949095), (8.7639766, 46.4948663), (8.7640753, 46.4948263), (8.7641932, 46.4947938), (8.7642899, 46.4947728), (8.7643743, 46.4947618), (8.7644894, 46.4947534), (8.7646216, 46.4947424), (8.7647344, 46.494749)];80;28;28;28;28
[(8.7823634, 46.4932124), (8.7825228, 46.4931607), (8.7825719, 46.49315), (8.7826181, 46.4931475), (8.7830497, 46.4931716), (8.7833913, 46.4931861), (8.7834861, 46.4931829), (8.7835575, 46.4931716), (8.7836591, 46.4931526), (8.7837243, 46.4931317), (8.783805, 46.4930955), (8.7840005, 46.4929944), (8.78405, 46.492974), (8.7840943, 46.4929603), (8.784149, 46.492947), (8.784201, 46.4929393), (8.7842662, 46.492932), (8.7843471, 46.4929286), (8.7844641, 46.4929335)];50;26;26;26;26
[(8.6035663, 46.1545572), (8.6033808, 46.1546048)];80;41;41;41;41
[(8.9978573, 45.8534521), (8.9981052, 45.8534181), (8.9983305, 45.8533751), (8.9984802, 45.8533365), (8.998863, 45.8532187), (8.9996824, 45.8529665), (8.9999803, 45.8529237), (9.0003279, 45.852899), (9.0008901, 45.8528893), (9.0010435, 45.8528669), (9.0011308, 45.852833), (9.0011999, 45.8528062), (9.0013185, 45.8527446), (9.0014461, 45.8526764), (9.0015048, 45.8526402), (9.0018551, 45.8523817), (9.0020418, 45.8522916), (9.0028847, 45.8520277), (9.0028985, 45.8520237), (9.0030898, 45.8519674), (9.0034353, 45.8518537), (9.0036833, 45.8517823), (9.0041692, 45.8516423), (9.0051429, 45.851363), (9.0060124, 45.8509965), (9.0062966, 45.850841), (9.006891, 45.8505159), (9.0071068, 45.8503788), (9.0071711, 45.8503326), (9.007271, 45.8502402), (9.0073448, 45.8501388), (9.0074324, 45.8499732), (9.0074974, 45.8498108), (9.0075652, 45.8495202)];50;45;45;45;45
[(8.9824863, 45.8423239), (8.9825347, 45.8423236), (8.9825921, 45.8423508), (8.9826363, 45.8423753), (8.9829104, 45.8425176), (8.9834265, 45.8428856), (8.9836574, 45.843018), (8.9838888, 45.8430931), (8.9840173, 45.843126), (8.9842668, 45.843169), (8.9845578, 45.8432066), (8.98494, 45.8432176), (8.985329, 45.8432134), (8.9856073, 45.8431805), (8.9858232, 45.8431238)];50;43;43;43;43
[(8.9153367, 46.1521224), (8.9133954, 46.1524354), (8.9129248, 46.1525174)];60;54;54;54;54
[(8.8490271, 46.1804252), (8.8490358, 46.1803923), (8.84905, 46.1803386), (8.8490765, 46.1802454), (8.8490959, 46.1801882), (8.8492825, 46.17975), (8.8493764, 46.1795125), (8.8495587, 46.1790713), (8.8496711, 46.1787402), (8.8496953, 46.1786688), (8.8498945, 46.1779721), (8.8499133, 46.1779209), (8.8499481, 46.1778686), (8.8499936, 46.1778336), (8.8500651, 46.1777995), (8.8506961, 46.177629)];50;40;40;40;40
[(8.7870956, 46.1655763), (8.7863977, 46.1649587)];80;33;33;33;33
[(8.7863977, 46.1649587), (8.7861536, 46.1647814), (8.7856828, 46.1644884), (8.7851727, 46.1642034)];60;33;33;33;33
[(8.8456511, 46.1771647), (8.8459558, 46.1770268), (8.8464964, 46.1767873), (8.846948, 46.1765906), (8.8473708, 46.1764098), (8.8478345, 46.1762201)];100;80;80;80;80
[(8.8587286, 46.1725169), (8.8588875, 46.1724606)];100;93;93;93;93
[(8.9336747, 45.9831693), (8.9337788, 45.9833142), (8.9338981, 45.9834639), (8.9340184, 45.9836023), (8.9341514, 45.9837416), (8.9342658, 45.9838526), (8.9344129, 45.9839887), (8.9345565, 45.9841154), (8.9357564, 45.985123), (8.9361846, 45.9854774), (8.936478, 45.9857184), (8.9367813, 45.9859664), (8.9370721, 45.9862026), (8.9376773, 45.9866935), (8.9378197, 45.9868127), (8.93796, 45.9869371), (8.9380968, 45.9870615), (8.9382368, 45.9872026), (8.9383544, 45.9873336), (8.9384671, 45.9874696), (8.9385674, 45.9876075), (8.9386688, 45.9877561), (8.9387854, 45.9879458)];80;72;72;72;72
[(8.9322156, 45.9816078), (8.9320576, 45.9812376), (8.9319646, 45.9810245), (8.9318721, 45.9808332), (8.9317865, 45.9806658), (8.9317022, 45.980515), (8.9316096, 45.9803555), (8.9315135, 45.980202), (8.9314002, 45.9800371)];100;104;104;104;104
