coordinates;speed_limit
[(9.0416319, 46.2090525), (9.0416575, 46.2090483), (9.0416777, 46.2090489), (9.0416961, 46.2090541), (9.0425139, 46.209436), (9.0426794, 46.2095382), (9.0427448, 46.2095903), (9.0428044, 46.2096455), (9.0428651, 46.2097177), (9.0429574, 46.2098686), (9.0430014, 46.209921), (9.0431087, 46.2100317), (9.0432423, 46.2101769), (9.0433641, 46.2103263), (9.04351, 46.2105616)];30
[(9.0433156, 46.2124239), (9.0432012, 46.2124975), (9.0423275, 46.2129065), (9.0420805, 46.2131076), (9.0420463, 46.2131354)];30
[(9.0426287, 46.2119838), (9.0426532, 46.2119639), (9.0428564, 46.2117916), (9.0430114, 46.2116253), (9.0431059, 46.2114641), (9.04313, 46.2114008), (9.0431598, 46.2113274)];30
[(9.0433156, 46.2124239), (9.0433458, 46.2123922), (9.0433786, 46.21236), (9.0434412, 46.2122871), (9.0435168, 46.2122141), (9.043545, 46.2121963), (9.0435731, 46.2121786), (9.0436318, 46.2121585), (9.0437228, 46.2121662), (9.0439001, 46.2122044), (9.0439576, 46.2122168), (9.0440732, 46.2122493), (9.0441405, 46.2122682), (9.0443243, 46.2123466), (9.0444951, 46.2124251), (9.044543, 46.212457), (9.0445612, 46.2124692), (9.0445882, 46.2125048), (9.0446154, 46.2125494), (9.0446297, 46.2125942), (9.0446445, 46.2126569), (9.0446207, 46.2127293), (9.0446228, 46.2128012), (9.0446506, 46.2128638), (9.044691, 46.2129172), (9.0448348, 46.2130422), (9.0448698, 46.2130675)];30
[(8.9953177, 45.8622065), (8.9954456, 45.862196), (8.9956034, 45.8621605), (8.9957546, 45.8621004), (8.995952, 45.8620108), (8.996158, 45.8618912), (8.9963382, 45.8618075), (8.9965786, 45.8617418), (8.9967328, 45.8617239)];30
[(8.9962419, 45.8637715), (8.9961838, 45.8637381), (8.9958525, 45.8635305), (8.9957846, 45.8634823), (8.995747, 45.8634452), (8.9957105, 45.8634012), (8.9956826, 45.8633649), (8.9956632, 45.8633133), (8.9956608, 45.863266), (8.9956644, 45.8632068), (8.9956826, 45.8631409), (8.9957081, 45.8630987), (8.9957374, 45.8630627), (8.9957703, 45.8630349), (8.996091, 45.862764), (8.9962039, 45.8626698), (8.9963125, 45.8625367), (8.9965572, 45.8621062), (8.9965748, 45.8620659), (8.9967328, 45.8617239)];30
[(8.9967328, 45.8617239), (8.9969991, 45.8613592), (8.9970764, 45.8611919), (8.9971807, 45.8608602), (8.9972137, 45.8607555), (8.9974135, 45.8605461), (8.9976686, 45.8603969), (8.9980745, 45.8601318), (8.9982474, 45.8599923)];30
[(8.9940355, 45.8615788), (8.9941213, 45.861434), (8.994162, 45.8613998), (8.9942236, 45.8613764), (8.9943384, 45.8613353), (8.9944176, 45.8612962), (8.9944401, 45.861273), (8.9944541, 45.8612423), (8.9944527, 45.8612115), (8.9944328, 45.861156), (8.9943556, 45.860899)];30
[(8.9938545, 45.8615476), (8.9938996, 45.8614273), (8.9939032, 45.8613664), (8.9938492, 45.8611739), (8.9937547, 45.8609887), (8.993534, 45.8606728), (8.9934585, 45.8605855), (8.9933706, 45.8605022), (8.9933066, 45.8604526), (8.9932051, 45.8603956), (8.992956, 45.8602658), (8.9926176, 45.8600964), (8.9923537, 45.8599644), (8.9920049, 45.8597999), (8.9917461, 45.8596779)];30
[(8.9967328, 45.8617239), (8.9970013, 45.8616736), (8.997305, 45.8616185), (8.9979433, 45.8615027), (8.9981192, 45.8614394), (8.9982697, 45.8613628), (8.9985012, 45.8611979), (8.9985733, 45.8611499), (8.99869, 45.8610723), (8.998878, 45.861016), (8.9990168, 45.8609874), (8.9993767, 45.8609528), (8.9996068, 45.860911), (8.9997715, 45.8608811), (8.9998015, 45.8608727), (9.0011521, 45.8604924), (9.0015568, 45.860361), (9.001943, 45.8600861)];30
[(8.9915306, 45.8561651), (8.9920149, 45.856106), (8.9925373, 45.8561721), (8.992765, 45.8561807)];30
[(8.9866845, 45.864714), (8.985665, 45.8644125), (8.9857863, 45.8642488), (8.9860867, 45.8640639)];30
[(8.9894447, 45.8674962), (8.9896449, 45.8673958), (8.9900413, 45.867242), (8.9901189, 45.8671908), (8.9901539, 45.8671452), (8.9901839, 45.8670851), (8.9901578, 45.8670327), (8.9901062, 45.8669898), (8.9899164, 45.8669384), (8.9891922, 45.8667404), (8.9883808, 45.8665275), (8.9881959, 45.8664396), (8.9879774, 45.8662831), (8.9878688, 45.8661575), (8.9877934, 45.8660204), (8.9877423, 45.8658674), (8.9877344, 45.8657618), (8.9877492, 45.8656693), (8.9877907, 45.8655815), (8.9878672, 45.8654583), (8.9879597, 45.8653527), (8.9880429, 45.865264), (8.9881371, 45.865186), (8.9882212, 45.8651351), (8.9883174, 45.8650964), (8.9884719, 45.8650426), (8.9886199, 45.8650228)];30
[(8.5591692, 46.5626825), (8.5593488, 46.5628916)];80
[(8.5593488, 46.5628916), (8.5595, 46.5630556), (8.559797, 46.5633847), (8.5601087, 46.5637445), (8.5603333, 46.5640965), (8.5604044, 46.564221), (8.560464, 46.5643582), (8.5605922, 46.5646735), (8.5606644, 46.5649567), (8.5607051, 46.5652741), (8.5607143, 46.5655609), (8.5606894, 46.5657574), (8.5606259, 46.5660936), (8.5605049, 46.5666345), (8.5604571, 46.5669693), (8.5604359, 46.5672565), (8.5604374, 46.5676018), (8.5604578, 46.5678543), (8.5604903, 46.5681193), (8.5605532, 46.5684456), (8.5606914, 46.5689529)];80
[(8.5588683, 46.5606809), (8.5587703, 46.5608729)];80
[(8.5587703, 46.5608729), (8.5587037, 46.5610559), (8.5586518, 46.5612614), (8.5586366, 46.5614884), (8.5586594, 46.5616956), (8.5586978, 46.5618809), (8.558752, 46.5620232), (8.5588405, 46.5622039), (8.5589584, 46.5623982), (8.5590738, 46.562558), (8.5591692, 46.5626825)];80
[(8.5801286, 46.5353801), (8.5800171, 46.5344774)];80
[(8.5797056, 46.5332827), (8.5796805, 46.5332038), (8.5795416, 46.5328576), (8.5794037, 46.5325619), (8.5793003, 46.5323677), (8.5791876, 46.5321834), (8.5790402, 46.5320051), (8.5788643, 46.5318142), (8.5786427, 46.5316141), (8.5784246, 46.5314525), (8.5781886, 46.5313011), (8.577919, 46.5311544), (8.5774384, 46.530955)];80
[(8.5860802, 46.5354007), (8.5861978, 46.5354775), (8.5862928, 46.5355347), (8.5863766, 46.535581), (8.5864637, 46.5356245), (8.586554, 46.5356658)];80
[(8.586554, 46.5356658), (8.5866691, 46.5357144), (8.5867825, 46.5357568), (8.5869385, 46.5358069), (8.5870683, 46.5358427), (8.5871814, 46.5358687), (8.5873425, 46.5359005), (8.5874825, 46.5359201), (8.5875946, 46.5359328), (8.5877255, 46.5359418), (8.5878423, 46.5359466), (8.5879462, 46.5359452), (8.5880509, 46.5359398), (8.5881199, 46.5359355)];80
[(8.5863901, 46.5306192), (8.5865013, 46.5306542), (8.586604, 46.5306939), (8.5866866, 46.5307323), (8.5867556, 46.5307707), (8.5868162, 46.5308094), (8.5868665, 46.530846), (8.5869107, 46.5308814), (8.5869738, 46.5309393), (8.5870279, 46.5309951), (8.5870767, 46.5310533), (8.5872186, 46.5312328)];80
[(8.5881594, 46.5308239), (8.5867982, 46.530499), (8.5865768, 46.53045), (8.586268, 46.5303904), (8.5847058, 46.5301266)];80
[(8.5910346, 46.5289882), (8.5912637, 46.5293911)];100
[(8.5912637, 46.5293911), (8.5915, 46.5297824), (8.5916787, 46.530015), (8.5918996, 46.5302572), (8.5921168, 46.5304627), (8.5923265, 46.5306488), (8.5925472, 46.5308145), (8.5928482, 46.531017), (8.5929977, 46.5311082), (8.5931572, 46.5311974)];100
[(8.9588533, 46.3598953), (8.9593429, 46.3598345)];50
[(8.9593429, 46.3598345), (8.9595047, 46.3598139)];50
[(8.9595047, 46.3598139), (8.9603698, 46.3596876), (8.9605625, 46.3596616), (8.9606679, 46.3596521)];50
[(8.9606679, 46.3596521), (8.9607749, 46.3596491), (8.9609317, 46.3596498)];50
[(9.0159034, 46.1891222), (9.015921, 46.1891482), (9.0162, 46.1895185)];50
[(8.6124183, 46.528592), (8.6124091, 46.5285617), (8.6123935, 46.5285362), (8.6123753, 46.5285175), (8.6123291, 46.5284827), (8.6122681, 46.5284471), (8.6122037, 46.528421), (8.6121366, 46.5284033), (8.6120624, 46.5283915), (8.6119898, 46.5283885), (8.61191, 46.528388), (8.6116331, 46.528401), (8.6115148, 46.5284072), (8.6113574, 46.5284154), (8.611289, 46.5284112), (8.6112274, 46.5284042), (8.6111503, 46.52839), (8.6110865, 46.5283742), (8.6110007, 46.5283438), (8.6106152, 46.5281951), (8.6105534, 46.5281707), (8.6103974, 46.5281076), (8.6102721, 46.5280593), (8.6101539, 46.5280172), (8.6100136, 46.5279733), (8.6095028, 46.5278203), (8.6094477, 46.5278046), (8.609329, 46.5277722), (8.6092571, 46.5277574), (8.6091713, 46.5277436), (8.6090692, 46.5277349), (8.6089705, 46.5277329), (8.6088165, 46.5277329)];50
[(8.9696768, 46.0238227), (8.9694693, 46.0246652)];30
[(9.0207388, 46.1875097), (9.0199015, 46.1877531), (9.0176032, 46.1884532)];30
[(8.8622266, 46.0019048), (8.8621311, 46.0018877), (8.8620728, 46.0018852), (8.8620203, 46.0018888), (8.8619458, 46.0018979), (8.8615902, 46.0019785), (8.8615524, 46.0019931), (8.8614436, 46.0020618), (8.8614107, 46.0020794), (8.8613761, 46.0020865), (8.8613509, 46.0020875), (8.8613227, 46.0020834), (8.8612808, 46.0020712), (8.8612396, 46.0020518), (8.8611979, 46.0020269)];30
[(8.9109024, 45.9771418), (8.9108536, 45.9770774), (8.9105982, 45.976849), (8.9103231, 45.9766007), (8.9102619, 45.9764835), (8.9101292, 45.9762112), (8.9101077, 45.976159), (8.9099815, 45.9758114), (8.9099522, 45.9757435), (8.9099101, 45.9756712), (8.9096741, 45.9753286), (8.9096352, 45.97526), (8.9096142, 45.9752046), (8.9095799, 45.9750937), (8.9095514, 45.9750399), (8.9095126, 45.9749829), (8.9095091, 45.9749642), (8.909517, 45.9749401), (8.9095357, 45.9749283), (8.9095624, 45.9749237), (8.9095974, 45.9749282), (8.9096235, 45.9749403), (8.9097537, 45.9750294), (8.910475, 45.9756534), (8.9105221, 45.9757002), (8.9105628, 45.9757469), (8.9109278, 45.9762008), (8.9115409, 45.9769917), (8.9117453, 45.9772737), (8.9124305, 45.9781246), (8.9124842, 45.9781815), (8.9125324, 45.978228), (8.9125994, 45.9783177), (8.9127726, 45.9787405), (8.9128146, 45.9789177), (8.9128505, 45.9790755), (8.9129323, 45.9792461), (8.913061, 45.9794138), (8.9133532, 45.97979), (8.9143477, 45.9806302), (8.9143778, 45.9806586), (8.9153971, 45.9814302), (8.9157779, 45.9816464), (8.9161227, 45.9817721), (8.9164378, 45.9817993), (8.9166523, 45.9817679), (8.9167053, 45.981752)];30
[(8.9197903, 45.974041), (8.91982, 45.9740698), (8.9199496, 45.9742446), (8.9200743, 45.9745877), (8.920131, 45.9748658), (8.9201876, 45.9751438), (8.9202258, 45.9753314), (8.9203143, 45.9758309), (8.9203193, 45.975982), (8.9202484, 45.9761427), (8.9202901, 45.9763329), (8.9202969, 45.9764285), (8.9203078, 45.9765807), (8.9202966, 45.9768135), (8.9203318, 45.9769583), (8.9203956, 45.9772159), (8.9204554, 45.9774404), (8.9204645, 45.977598), (8.9203899, 45.9777256), (8.9203905, 45.9778277), (8.9204312, 45.9779864), (8.9205469, 45.9782579), (8.9205889, 45.9783957), (8.9207239, 45.9788394), (8.9207668, 45.9791488), (8.9207561, 45.9794247), (8.9207887, 45.9795191), (8.9210994, 45.9803343), (8.9210946, 45.9804713), (8.9209283, 45.9810109)];30
[(8.9209283, 45.9810109), (8.9211906, 45.9811171), (8.9214213, 45.9811879), (8.9215822, 45.981214), (8.9216681, 45.9812774), (8.9219256, 45.981598), (8.9220597, 45.9817061), (8.9222152, 45.9817993)];30
[(8.9222152, 45.9817993), (8.9218987, 45.9823249), (8.9217754, 45.9825895), (8.9217539, 45.9827088), (8.9217003, 45.9827647), (8.9216573, 45.9827983), (8.9215983, 45.9828206)];30
[(8.9161159, 45.9850646), (8.9156814, 45.9856667)];30
[(8.9215983, 45.9828206), (8.9216144, 45.9828989), (8.9216895, 45.9830517), (8.9217968, 45.98313), (8.9221348, 45.9832456), (8.9222528, 45.9833201), (8.9223815, 45.9834171), (8.9224191, 45.983514), (8.922449, 45.9838318), (8.9225571, 45.9840688), (8.9228885, 45.9849938), (8.9229526, 45.9851036), (8.9230628, 45.9852305), (8.9231616, 45.9853047), (8.9233096, 45.9853759), (8.9236949, 45.9855764), (8.9238284, 45.9856255), (8.9241284, 45.985755), (8.9242445, 45.9858239), (8.9243208, 45.9858911), (8.9243959, 45.9859852), (8.9244724, 45.9861204), (8.9245055, 45.9862032), (8.9245273, 45.9863114), (8.9244803, 45.9866833), (8.9244938, 45.9867596), (8.9245084, 45.9868277), (8.9245434, 45.9868957), (8.9246092, 45.9869861), (8.9247366, 45.9870942), (8.9247472, 45.9871343), (8.9247459, 45.9871734), (8.9247052, 45.9872145), (8.9246504, 45.9872467)];30
[(8.9553381, 46.0379439), (8.9552414, 46.0379513), (8.9551748, 46.0379185), (8.9550848, 46.0378168), (8.9549132, 46.0376976), (8.9546664, 46.0375764)];30
[(8.9579614, 46.0333615), (8.9586331, 46.0337646), (8.9591075, 46.0340494), (8.9591736, 46.0341075), (8.9594234, 46.0342848), (8.9599703, 46.0347314), (8.9600331, 46.0348171), (8.9600709, 46.034898), (8.9601232, 46.0349703), (8.9601856, 46.0350644), (8.960491, 46.0355804), (8.9607398, 46.0358887), (8.9609147, 46.036091), (8.9611362, 46.0365443)];30
[(8.957314, 46.0348487), (8.9574968, 46.0347558), (8.9577039, 46.0347373), (8.9579005, 46.0347197), (8.9580985, 46.0347197), (8.9584644, 46.0347197), (8.958733, 46.0347935), (8.9589232, 46.034918)];30
[(8.9561764, 46.0414835), (8.9561176, 46.0415381), (8.9560859, 46.0415801), (8.9560679, 46.0416287), (8.9560253, 46.041857), (8.9559864, 46.0420055), (8.9555947, 46.0424802), (8.9555068, 46.0426242), (8.9554855, 46.0426552), (8.9554614, 46.0426832), (8.9554398, 46.0426996), (8.9554035, 46.042715), (8.9547373, 46.0429466), (8.954389, 46.0430946)];30
[(8.9960712, 46.0107977), (8.9961024, 46.0107541), (8.9961284, 46.0107223), (8.9961603, 46.0106886), (8.996208, 46.0106346), (8.9962412, 46.0105902), (8.9962582, 46.0105627), (8.996264, 46.0105515), (8.9962722, 46.0105247)];30
[(8.9065003, 45.9513991), (8.9065207, 45.9513147)];30
[(8.9621717, 46.0175751), (8.9623885, 46.0175484), (8.9624128, 46.0175456)];50
[(8.5914933, 46.6679526), (8.5915393, 46.6676392), (8.5916251, 46.6673171), (8.5918153, 46.6666668), (8.5921436, 46.6654982), (8.5922114, 46.6647885), (8.5921785, 46.6642563), (8.5920569, 46.6636265), (8.591856, 46.6629951), (8.5911934, 46.6617354), (8.5875669, 46.6551658), (8.5839447, 46.6485933), (8.5807148, 46.6427589), (8.5780434, 46.6378872), (8.576034, 46.6342571), (8.5755962, 46.6333525), (8.5752046, 46.632369), (8.5745612, 46.6303719), (8.5722917, 46.6231592), (8.5675517, 46.6082887), (8.564649, 46.5990836), (8.5643685, 46.597964), (8.5641919, 46.5967736), (8.5641405, 46.5957156), (8.5641739, 46.5946385), (8.5642934, 46.5935886), (8.5645343, 46.5924872), (8.5648083, 46.5915317), (8.5666095, 46.5868632), (8.5675257, 46.5845301), (8.5684825, 46.5822074)];80
[(8.6046574, 46.5249734), (8.6040497, 46.5249704), (8.6034791, 46.5249924), (8.6029796, 46.525016), (8.6024664, 46.5250632)];60
[(8.7261901, 46.5002731), (8.7264573, 46.5001106), (8.7286544, 46.4993345), (8.7297788, 46.4989434), (8.7303216, 46.4987156), (8.7310127, 46.4984404)];120
[(8.7263707, 46.5012017), (8.7246484, 46.5018268), (8.7237641, 46.5022377), (8.7233331, 46.5024575), (8.7229521, 46.5026742), (8.7228178, 46.5027607), (8.7225369, 46.5028733)];120
[(8.9746018, 45.8734619), (8.9746789, 45.8734394), (8.9747522, 45.8734162), (8.9748526, 45.8733663), (8.9749034, 45.873336), (8.974954, 45.8732991), (8.975024, 45.8732344), (8.9750792, 45.8731724), (8.9751153, 45.8731158), (8.9751431, 45.8730499), (8.9751643, 45.8729839), (8.975167, 45.8729119), (8.9751627, 45.8728423), (8.9751551, 45.8727892), (8.9751332, 45.872678), (8.9751031, 45.8725767), (8.975058, 45.8724606), (8.9750027, 45.8723517), (8.9749413, 45.8722445), (8.9740007, 45.871155), (8.9739191, 45.8709612)];100
[(8.9147911, 46.0167251), (8.9146983, 46.0167447)];80
[(8.9144335, 46.0168189), (8.9135093, 46.0170211), (8.9134558, 46.0170283)];50
[(8.7853904, 46.1637111), (8.7851097, 46.163604), (8.7843731, 46.1633001)];80
[(8.785891, 46.1638847), (8.7853904, 46.1637111)];80
[(8.8420179, 46.1794019), (8.8416017, 46.1794214), (8.8411376, 46.1794562), (8.840819, 46.1794766), (8.8405167, 46.1794738)];60
[(8.6966673, 46.1020207), (8.6966175, 46.1021483)];20
[(8.7784411, 46.1699359), (8.7787023, 46.1699271), (8.779023, 46.1699107), (8.7797955, 46.1698537), (8.7800429, 46.1698399), (8.7810997, 46.1698159), (8.7812134, 46.1698108), (8.7813572, 46.1698076), (8.7840412, 46.1697802), (8.7842405, 46.1697816), (8.7850595, 46.169767), (8.7854292, 46.1697608), (8.7857305, 46.1697564), (8.786128, 46.1697514), (8.7867625, 46.1697409), (8.7883457, 46.1697201), (8.7890759, 46.1697276), (8.7891068, 46.1697265), (8.7891361, 46.1697199), (8.7891619, 46.169708)];50
[(8.8016367, 46.1729312), (8.8018723, 46.1729623), (8.802072, 46.1729733), (8.8022378, 46.1729709), (8.8029632, 46.1729158), (8.8042204, 46.172874), (8.8044325, 46.1728874), (8.8045539, 46.1729074)];50
[(8.8012213, 46.1707917), (8.8013233, 46.1709353), (8.8013707, 46.1710531), (8.8014357, 46.1712149), (8.8015296, 46.1713471)];50
[(8.9457481, 45.8649354), (8.9448691, 45.8646781), (8.9446921, 45.8646091), (8.9442639, 45.8644466), (8.943747, 45.8642558), (8.9435082, 45.8641907), (8.9430546, 45.8640993), (8.9424849, 45.8640239), (8.9413858, 45.863901), (8.9406071, 45.8638139), (8.9402854, 45.863738), (8.9400412, 45.8637014), (8.9397977, 45.8636932), (8.9395947, 45.8636899), (8.9393216, 45.8637307), (8.9391623, 45.8637145), (8.9391289, 45.8637094)];50
[(9.0163524, 46.2542359), (9.0166134, 46.2542256)];60
[(9.0253483, 46.1983055), (9.0261615, 46.1979053)];30
[(9.0259777, 46.1976583), (9.0260057, 46.1976916), (9.0260514, 46.1977543), (9.0261615, 46.1979053), (9.0262244, 46.1981917), (9.0262536, 46.1983608), (9.0262932, 46.1985244), (9.0265078, 46.1987356), (9.0269071, 46.1991883)];30
[(8.9238489, 45.9911658), (8.9251027, 45.9907526), (8.9265127, 45.9901938), (8.9289826, 45.9892283), (8.9296186, 45.9889561)];100
[(9.0270428, 45.8389538), (9.0286545, 45.8388742), (9.0301851, 45.8387959), (9.0310633, 45.8387563), (9.0319329, 45.8387241)];60
[(9.0319329, 45.8387241), (9.0324191, 45.8387202), (9.0326621, 45.8387201), (9.0329012, 45.8387227), (9.0331387, 45.8387295), (9.0333592, 45.8387391), (9.0336043, 45.8387521), (9.0338317, 45.8387701), (9.0339489, 45.8387817), (9.0340623, 45.8387952), (9.0341785, 45.8388116), (9.0342973, 45.8388316), (9.0344005, 45.8388523), (9.0345036, 45.8388765), (9.0346433, 45.8389136), (9.0347929, 45.8389592), (9.0349442, 45.8390129), (9.0350875, 45.8390691)];40
[(8.5989591, 46.3134801), (8.5989837, 46.3136173), (8.5989959, 46.3137739), (8.5991649, 46.3138699), (8.5995529, 46.3141539), (8.5996594, 46.3142675), (8.599739, 46.3143858), (8.5998407, 46.314549), (8.6000268, 46.3148614), (8.6000946, 46.3149497)];50
[(8.6577932, 46.2885572), (8.6578408, 46.2886113), (8.6579032, 46.2886119), (8.6587345, 46.2884353), (8.6592939, 46.2883164), (8.6598337, 46.2882017), (8.6600938, 46.2881424), (8.6602347, 46.288115), (8.660406, 46.288085), (8.6605047, 46.2880853), (8.6606882, 46.2880725), (8.6607592, 46.2880574), (8.660836, 46.2880309), (8.6610165, 46.2879427), (8.6611807, 46.287842), (8.6612526, 46.2877865), (8.661392, 46.2876957), (8.6614745, 46.2876599), (8.6618225, 46.2875367), (8.66206, 46.2874435)];50
[(8.7865537, 46.1673843), (8.7866093, 46.1680569), (8.7866656, 46.1686851)];50
[(8.8045679, 46.1719357), (8.8044712, 46.1719707), (8.8040904, 46.1720196), (8.8040264, 46.1720469), (8.8039954, 46.1721001)];50
[(8.7272952, 46.1825096), (8.7270987, 46.1822782), (8.7269552, 46.1821091), (8.7265742, 46.1820287), (8.725978, 46.1813767), (8.7253599, 46.1808235), (8.7253433, 46.1807874), (8.7251678, 46.1804051), (8.7250223, 46.1799519), (8.7248271, 46.179454), (8.7244679, 46.1785299)];50
[(8.7183469, 46.1833928), (8.7198791, 46.1835427), (8.7214262, 46.1836915), (8.7217907, 46.1837269), (8.7220748, 46.1837545), (8.7229766, 46.1838379), (8.7267898, 46.1842043)];30
[(8.602966, 46.3468015), (8.602997, 46.3468181), (8.6030211, 46.3468265), (8.6030447, 46.3468285), (8.6030761, 46.3468248), (8.6031023, 46.3468199), (8.6031327, 46.3468091), (8.6032722, 46.3467452), (8.6033183, 46.3467264), (8.6033541, 46.3467164), (8.6033931, 46.3467083), (8.6034364, 46.3467044), (8.6034896, 46.3467029), (8.6035427, 46.3467043), (8.6038568, 46.3467238), (8.6039252, 46.3467229), (8.6040097, 46.3467164), (8.6041049, 46.346696), (8.6042913, 46.346659), (8.6044039, 46.3466266), (8.6045354, 46.3465645), (8.6046762, 46.3464581), (8.604819, 46.3463719), (8.6049483, 46.3462777), (8.6050202, 46.3462123), (8.6051019, 46.3461259), (8.605155, 46.3460827), (8.6052314, 46.3460364), (8.6054017, 46.3459582), (8.6054646, 46.3459412), (8.6055989, 46.3459253), (8.6057087, 46.3459264), (8.6058081, 46.3459188), (8.6059945, 46.3458818), (8.6060446, 46.3458759), (8.6061394, 46.3458755), (8.6063732, 46.3458986), (8.6064818, 46.3458884), (8.6065791, 46.3458898), (8.6066744, 46.3458989), (8.6067772, 46.3459172), (8.6068258, 46.3459171), (8.6068743, 46.3459109), (8.6070044, 46.3458712), (8.6070916, 46.3458296), (8.6074238, 46.3455927), (8.6075252, 46.3455529), (8.6076316, 46.3455249), (8.6079671, 46.345485), (8.6081867, 46.3454588), (8.6084913, 46.3454115), (8.6085596, 46.345391), (8.6086585, 46.3453455), (8.6087289, 46.3453339), (8.6087861, 46.3453353), (8.6088148, 46.3453416), (8.6088328, 46.3453455), (8.6088859, 46.3453695), (8.6089746, 46.3454208), (8.6092363, 46.3455872), (8.6093025, 46.3456193), (8.6093853, 46.3456427), (8.6094945, 46.345652), (8.6097698, 46.3456488), (8.6102613, 46.3456335), (8.6104794, 46.3456334), (8.6106922, 46.3456887), (8.6109303, 46.345763), (8.611048, 46.3458072), (8.6111489, 46.3458759), (8.6114734, 46.3462148), (8.6118539, 46.346537), (8.6118803, 46.3465534), (8.6119046, 46.3465639), (8.6119357, 46.3465714), (8.6119692, 46.346574), (8.6120005, 46.3465721), (8.6120404, 46.3465633), (8.6121431, 46.3465369)];50
[(8.6047186, 46.346741), (8.6048098, 46.3466595), (8.6048419, 46.3464994), (8.6048439, 46.3464421), (8.604819, 46.3463719)];50
[(8.6060602, 46.3452278), (8.6059972, 46.3452883), (8.6057612, 46.3454053), (8.6055443, 46.3455221), (8.6052995, 46.3456224), (8.6050604, 46.3457536), (8.6049674, 46.3458274), (8.6048467, 46.3459314), (8.6046256, 46.3461504), (8.6045081, 46.346244), (8.6043874, 46.3463222), (8.6042303, 46.3463967), (8.6041769, 46.3464186), (8.6041118, 46.3464387), (8.6035489, 46.3465736), (8.6034788, 46.3465937), (8.602966, 46.3468015), (8.6028326, 46.3468484), (8.6027573, 46.3468753), (8.6025844, 46.3469527), (8.6025421, 46.3469659), (8.6025197, 46.3469694), (8.6025009, 46.346966), (8.6024841, 46.3469586), (8.602463, 46.3469383)];50
[(8.9828679, 45.8511563), (8.9832164, 45.8506991), (8.983261, 45.8506377)];60
[(9.04717, 46.221653), (9.0469623, 46.2216328), (9.0467333, 46.2216131), (9.0457847, 46.2215415)];100
[(8.7459584, 46.2156223), (8.746622, 46.2160934), (8.7467344, 46.2161907), (8.7471589, 46.2166338), (8.747235, 46.2167507), (8.7472846, 46.216861), (8.7473308, 46.2169994), (8.7473377, 46.2171491), (8.7473351, 46.2172647), (8.747326, 46.2173677), (8.7473032, 46.2174839), (8.7472562, 46.2176288)];80
[(8.7472562, 46.2176288), (8.7472243, 46.2177022), (8.7471858, 46.2177825), (8.7471071, 46.2179328), (8.7469282, 46.2182303), (8.7468749, 46.2183239), (8.7468184, 46.2184336), (8.7467911, 46.2184974), (8.7467711, 46.2185506), (8.7467524, 46.2186127), (8.7467387, 46.2186644), (8.7467247, 46.2187382), (8.7467177, 46.2188033), (8.7467146, 46.2188615), (8.7467156, 46.2189157), (8.7467228, 46.2190058), (8.7467373, 46.2191122), (8.7467631, 46.2192185), (8.7468272, 46.2195514), (8.7469201, 46.2200044), (8.7469366, 46.2201095), (8.7469554, 46.2202338), (8.7469571, 46.220304), (8.7469571, 46.2203841), (8.7469484, 46.2204685), (8.7469338, 46.2205457), (8.7469144, 46.220621), (8.7468924, 46.2206873), (8.7468428, 46.2208007), (8.7468057, 46.2208716), (8.7467601, 46.220943), (8.7467155, 46.2210016), (8.746667, 46.2210623), (8.7466223, 46.2211118), (8.7465305, 46.2212025), (8.7464109, 46.221303), (8.7459201, 46.2216584)];80
[(8.7436893, 46.2235932), (8.7433722, 46.2239513)];50
[(8.8018277, 46.1722856), (8.801779, 46.1721549), (8.801767, 46.1721228), (8.8016275, 46.1720952), (8.8015642, 46.1720876), (8.8015365, 46.1720843), (8.8015012, 46.1720754), (8.8014713, 46.1720482), (8.8014366, 46.1720217)];50
[(8.7992077, 46.1731357), (8.7993382, 46.1729952), (8.7997194, 46.1725679), (8.7998096, 46.1724663)];50
[(8.7953647, 46.1708323), (8.7951472, 46.1707713), (8.7950829, 46.1707451), (8.7949879, 46.1707011), (8.7949184, 46.1706539), (8.7948836, 46.1706353), (8.7948281, 46.1706168), (8.7946906, 46.170568), (8.7945491, 46.170511), (8.7944954, 46.1704875)];30
[(8.7918492, 46.1683012), (8.7918341, 46.168285), (8.7918103, 46.168267), (8.7917645, 46.168243), (8.7917176, 46.1682248), (8.7916594, 46.1682091), (8.7914359, 46.1681824), (8.7910007, 46.168155)];20
[(8.7940273, 46.1675766), (8.7939334, 46.1675734), (8.7936102, 46.1675107)];50
